1,28790.2333333,19991.6347275,18949.7333333,18823.1333333,18985.1,30401.1666667,18867.5309095,19049.4666667,37836.1,19021.8659378
2,42974.7666667,39155.7948068,29392.6607339,31549.4135679,32650.8783041,43391.1,30642.2571829,31160.5,38468.8510383,29226.1746306
3,45338.8,30570.1479605,32982.3339222,33070.3666667,47197.5600813,36181.1333333,45442.6,34075.2,30637.0575295,33635.5666667
4,45354.7,35641.6666667,39823.7392087,38686.6666667,49105.3,40314.8666667,39854.7048432,36321.4333333,42488.1666667,38846.5666667
5,47553.0333333,34314.0,34448.8666667,37299.9666667,40553.8333333,48123.0666667,35428.9857005,33088.9,39944.4666667,46950.0666667
6,35489.0,38491.4,39952.6666667,36653.8333333,46223.2666667,33035.5666667,31414.9,34858.8333333,37748.7333333,40297.2
8,37350.3,36824.5666667,38398.9,38097.2,33617.2333333,34001.4666667,37195.6275412,36969.6010133,46198.4666667,36688.4770508
10,39057.8333333,45975.0333333,34668.4666667,43528.7666667,34980.5666667,39517.3,41187.0,40960.4333333,39915.4,37693.3
12,36654.7333333,42547.9817339,41012.2666667,37720.4426519,42310.9,38062.5,41332.0333333,38101.9333333,37061.9,37984.4671844
14,36694.4333333,36695.8434719,38774.6333333,42346.9,36982.7028829,36481.3333333,41179.5666667,36709.9333333,38849.2333333,40163.0333333
16,37124.8333333,37163.2278924,41248.6,35881.0333333,41931.8,35783.7,39209.6666667,39950.8666667,36734.3,36652.9666667
18,37892.6702443,36459.0333333,38761.6666667,36153.6666667,35637.2666667,36489.7666667,37920.2,39612.2462585,35997.0333333,41910.3
20,38709.3290671,38449.3,36439.2,37661.4,39041.5,38330.2,38405.8666667,37862.7,35173.1,36786.7333333
